run_id,type,params,metrics
26324785ef4e49239b93a80126582705,parent,"{'params.activation': None, 'params.n_layers': None, 'params.hidden_units': None, 'params.batch_size': None, 'params.learning rate': None}","{'metrics.lowest_val_loss': nan, 'metrics.test_MAPE_norm': nan, 'metrics.test_By_MAE': nan, 'metrics.val_loss_RMSE': nan, 'metrics.test_By_MAEP': nan, 'metrics.train_loss_RMSE': nan, 'metrics.test_Bx_MAEP': nan, 'metrics.test_RMSE': nan, 'metrics.test_Bx_MAE': nan, 'metrics.test_MAE_norm': nan, 'metrics.test_Bz_MAE': nan, 'metrics.test_Bz_MAEP': nan, 'metrics.final_val_loss': nan}"
2a31158cb0e54c02aeab5273d5605ba0,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '434', 'params.batch_size': '192', 'params.learning rate': '0.000409026240210257'}","{'metrics.lowest_val_loss': 0.5661484022727935, 'metrics.test_MAPE_norm': 0.08091375671273512, 'metrics.test_By_MAE': 0.2298487424850464, 'metrics.val_loss_RMSE': 0.6485444400015747, 'metrics.test_By_MAEP': 0.08728974312543869, 'metrics.train_loss_RMSE': 0.5556970693782711, 'metrics.test_Bx_MAEP': 0.08720847964286804, 'metrics.test_RMSE': 0.5667856976276395, 'metrics.test_Bx_MAE': 0.21948468685150146, 'metrics.test_MAE_norm': 0.4317674203742322, 'metrics.test_Bz_MAE': 0.2902945876121521, 'metrics.test_Bz_MAEP': 0.07534686475992203, 'metrics.final_val_loss': nan}"
441a71061d2e43cea0f3ebc95fe42af4,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '448', 'params.batch_size': '192', 'params.learning rate': '0.0004573346193686338'}","{'metrics.lowest_val_loss': 0.5655892615043837, 'metrics.test_MAPE_norm': 0.07925858600534123, 'metrics.test_By_MAE': 0.22013506293296814, 'metrics.val_loss_RMSE': 0.7785590066838959, 'metrics.test_By_MAEP': 0.08363404124975204, 'metrics.train_loss_RMSE': 0.5504266772687737, 'metrics.test_Bx_MAEP': 0.08752039074897766, 'metrics.test_RMSE': 0.5636644406551276, 'metrics.test_Bx_MAE': 0.220000222325325, 'metrics.test_MAE_norm': 0.42282458303643644, 'metrics.test_Bz_MAE': 0.28400060534477234, 'metrics.test_Bz_MAEP': 0.07379477471113205, 'metrics.final_val_loss': nan}"
ddb591f07baa4589a1e93d4acbfa62c8,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '424', 'params.batch_size': '192', 'params.learning rate': '0.00043221795956600834'}","{'metrics.lowest_val_loss': 0.564541110552435, 'metrics.test_MAPE_norm': 0.08141870893162789, 'metrics.test_By_MAE': 0.23260943591594696, 'metrics.val_loss_RMSE': 0.7269696268535012, 'metrics.test_By_MAEP': 0.08830422163009644, 'metrics.train_loss_RMSE': 0.577129856095537, 'metrics.test_Bx_MAEP': 0.09019173681735992, 'metrics.test_RMSE': 0.5631813324756593, 'metrics.test_Bx_MAE': 0.22667352855205536, 'metrics.test_MAE_norm': 0.43443768573321884, 'metrics.test_Bz_MAE': 0.2866252064704895, 'metrics.test_Bz_MAEP': 0.07442760467529297, 'metrics.final_val_loss': nan}"
b99f8abefd074a788cb499a3b80fd58e,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '447', 'params.batch_size': '192', 'params.learning rate': '0.0004306500882091994'}","{'metrics.lowest_val_loss': 0.5219610628793944, 'metrics.test_MAPE_norm': 0.07323510245346337, 'metrics.test_By_MAE': 0.20979589223861694, 'metrics.val_loss_RMSE': 0.6553228984459236, 'metrics.test_By_MAEP': 0.07966794818639755, 'metrics.train_loss_RMSE': 0.5994646108029713, 'metrics.test_Bx_MAEP': 0.08091191947460175, 'metrics.test_RMSE': 0.5192068828114184, 'metrics.test_Bx_MAE': 0.20365430414676666, 'metrics.test_MAE_norm': 0.39076887982354747, 'metrics.test_Bz_MAE': 0.2572917640209198, 'metrics.test_Bz_MAEP': 0.06684604287147522, 'metrics.final_val_loss': nan}"
e025714c0fa149f486b97ca149e16325,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '461', 'params.batch_size': '192', 'params.learning rate': '0.00041560654652472934'}","{'metrics.lowest_val_loss': 0.5583967971874909, 'metrics.test_MAPE_norm': 0.07741572697171205, 'metrics.test_By_MAE': 0.220668762922287, 'metrics.val_loss_RMSE': 0.9479983096945624, 'metrics.test_By_MAEP': 0.08391536772251129, 'metrics.train_loss_RMSE': 0.6334600885203999, 'metrics.test_Bx_MAEP': 0.08367381244897842, 'metrics.test_RMSE': 0.5559183230094114, 'metrics.test_Bx_MAE': 0.21056827902793884, 'metrics.test_MAE_norm': 0.41333248696738867, 'metrics.test_Bz_MAE': 0.2769589126110077, 'metrics.test_Bz_MAEP': 0.0718221664428711, 'metrics.final_val_loss': nan}"
7f42ade865e54c9c8150a8f586a85fc4,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '398', 'params.batch_size': '192', 'params.learning rate': '0.00040107134048503255'}","{'metrics.lowest_val_loss': 0.5579100175131416, 'metrics.test_MAPE_norm': 0.07722934008502275, 'metrics.test_By_MAE': 0.2169651836156845, 'metrics.val_loss_RMSE': 0.5579100175131416, 'metrics.test_By_MAEP': 0.08239993453025818, 'metrics.train_loss_RMSE': 0.640465337095161, 'metrics.test_Bx_MAEP': 0.08348219841718674, 'metrics.test_RMSE': 0.5495858411242527, 'metrics.test_Bx_MAE': 0.21013815701007843, 'metrics.test_MAE_norm': 0.41234317829283024, 'metrics.test_Bz_MAE': 0.2788449823856354, 'metrics.test_Bz_MAEP': 0.07240267843008041, 'metrics.final_val_loss': nan}"
bb9a4de17cbd437fb1624f6c48df234b,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '414', 'params.batch_size': '192', 'params.learning rate': '0.00043000367279695637'}","{'metrics.lowest_val_loss': 0.554733249039382, 'metrics.test_MAPE_norm': 0.07887182277526787, 'metrics.test_By_MAE': 0.23055961728096008, 'metrics.val_loss_RMSE': 0.7630814324327101, 'metrics.test_By_MAEP': 0.08745028078556061, 'metrics.train_loss_RMSE': 0.5473810577241524, 'metrics.test_Bx_MAEP': 0.085636205971241, 'metrics.test_RMSE': 0.5569825652884846, 'metrics.test_Bx_MAE': 0.21550151705741882, 'metrics.test_MAE_norm': 0.4214482543279799, 'metrics.test_Bz_MAE': 0.27711689472198486, 'metrics.test_Bz_MAEP': 0.07186887413263321, 'metrics.final_val_loss': nan}"
acdf15945d4e4054885cb9b66c9e17b8,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '449', 'params.batch_size': '192', 'params.learning rate': '0.00041083139081881135'}","{'metrics.lowest_val_loss': 0.5594112865800366, 'metrics.test_MAPE_norm': 0.07858647778630257, 'metrics.test_By_MAE': 0.2258225977420807, 'metrics.val_loss_RMSE': 0.8478750600327544, 'metrics.test_By_MAEP': 0.08580571413040161, 'metrics.train_loss_RMSE': 0.536394211215786, 'metrics.test_Bx_MAEP': 0.08557836711406708, 'metrics.test_RMSE': 0.5605262040334529, 'metrics.test_Bx_MAE': 0.21547812223434448, 'metrics.test_MAE_norm': 0.4194267332125053, 'metrics.test_Bz_MAE': 0.2781774401664734, 'metrics.test_Bz_MAEP': 0.07220364362001419, 'metrics.final_val_loss': nan}"
2d2efdb3dddc48a5afad7ca31759161a,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '447', 'params.batch_size': '192', 'params.learning rate': '0.00040890939943949927'}","{'metrics.lowest_val_loss': 0.5446452089140035, 'metrics.test_MAPE_norm': 0.07679289836677716, 'metrics.test_By_MAE': 0.21888470649719238, 'metrics.val_loss_RMSE': 0.5965465434247114, 'metrics.test_By_MAEP': 0.08300945907831192, 'metrics.train_loss_RMSE': 0.42949580982445834, 'metrics.test_Bx_MAEP': 0.08254016190767288, 'metrics.test_RMSE': 0.5498792266145865, 'metrics.test_Bx_MAE': 0.20755381882190704, 'metrics.test_MAE_norm': 0.4097977145541486, 'metrics.test_Bz_MAE': 0.2755037546157837, 'metrics.test_Bz_MAEP': 0.07162730395793915, 'metrics.final_val_loss': nan}"
